"case","event","startTime","completeTime"
"case_97","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_97","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_97","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_97","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_97","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_97","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_97","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_97","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_97","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_97","S3","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_97","S1","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_97","S2","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_97","S3","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_97","S1","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_97","S2","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_97","S4","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_97","S5","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_97","S12","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_97","S13","1970/01/01 19:00:00.000","1970/01/01 19:00:00.000"
"case_97","S14","1970/01/01 20:00:00.000","1970/01/01 20:00:00.000"
"case_97","S24","1970/01/01 21:00:00.000","1970/01/01 21:00:00.000"
"case_83","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_83","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_83","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_83","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_83","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_83","S12","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_83","S13","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_83","S14","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_83","S24","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_31","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_31","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_31","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_31","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_31","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_31","S12","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_31","S13","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_31","S15","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_31","S17","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_31","S19","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_31","S23","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_31","S24","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_93","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_93","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_93","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_93","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_93","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_93","S12","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_93","S13","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_93","S15","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_93","S17","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_93","S18","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_93","S23","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_93","S24","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_18","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_18","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_18","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_18","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_18","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_18","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_18","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_18","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_18","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_18","S3","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_18","S1","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_18","S2","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_18","S4","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_18","S5","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_18","S12","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_18","S13","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_18","S15","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_18","S17","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_18","S22","1970/01/01 19:00:00.000","1970/01/01 19:00:00.000"
"case_18","S23","1970/01/01 20:00:00.000","1970/01/01 20:00:00.000"
"case_18","S24","1970/01/01 21:00:00.000","1970/01/01 21:00:00.000"
"case_62","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_62","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_62","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_62","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_62","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_62","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_62","S4","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_62","S5","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_62","S12","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_62","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_62","S15","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_62","S17","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_62","S20","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_62","S23","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_62","S24","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_71","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_71","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_71","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_71","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_71","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_71","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_71","S4","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_71","S5","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_71","S12","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_71","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_71","S14","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_71","S24","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_45","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_45","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_45","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_45","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_45","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_45","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_45","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_45","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_45","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_45","S4","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_45","S5","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_45","S6","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_45","S7","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_45","S8","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_45","S10","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_45","S13","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_45","S14","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_45","S24","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_15","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_15","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_15","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_15","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_15","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_15","S12","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_15","S13","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_15","S14","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_15","S24","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_3","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_3","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_3","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_3","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_3","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_3","S6","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_3","S7","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_3","S11","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_3","S13","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_3","S15","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_3","S17","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_3","S22","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_3","S23","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_3","S24","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_64","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_64","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_64","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_64","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_64","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_64","S12","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_64","S13","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_64","S14","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_64","S24","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_7","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_7","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_7","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_7","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_7","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_7","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_7","S4","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_7","S5","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_7","S6","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_7","S7","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_7","S8","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_7","S10","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_7","S13","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_7","S14","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_7","S24","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_90","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_90","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_90","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_90","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_90","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_90","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_90","S4","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_90","S5","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_90","S12","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_90","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_90","S15","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_90","S16","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_90","S17","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_90","S19","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_90","S23","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_90","S24","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_16","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_16","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_16","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_16","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_16","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_16","S6","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_16","S7","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_16","S8","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_16","S10","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_16","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_16","S15","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_16","S16","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_16","S17","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_16","S18","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_16","S23","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_16","S24","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_4","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_4","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_4","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_4","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_4","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_4","S6","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_4","S7","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_4","S8","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_4","S9","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_4","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_4","S15","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_4","S16","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_4","S17","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_4","S21","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_4","S20","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_4","S23","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_4","S24","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_39","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_39","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_39","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_39","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_39","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_39","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_39","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_39","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_39","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_39","S3","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_39","S1","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_39","S2","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_39","S3","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_39","S1","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_39","S2","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_39","S4","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_39","S5","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_39","S6","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_39","S7","1970/01/01 19:00:00.000","1970/01/01 19:00:00.000"
"case_39","S11","1970/01/01 20:00:00.000","1970/01/01 20:00:00.000"
"case_39","S13","1970/01/01 21:00:00.000","1970/01/01 21:00:00.000"
"case_39","S14","1970/01/01 22:00:00.000","1970/01/01 22:00:00.000"
"case_39","S24","1970/01/01 23:00:00.000","1970/01/01 23:00:00.000"
"case_55","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_55","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_55","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_55","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_55","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_55","S6","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_55","S7","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_55","S11","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_55","S13","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_55","S14","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_55","S24","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_40","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_40","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_40","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_40","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_40","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_40","S6","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_40","S7","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_40","S8","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_40","S9","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_40","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_40","S15","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_40","S17","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_40","S22","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_40","S23","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_40","S24","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_5","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_5","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_5","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_5","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_5","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_5","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_5","S3","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_5","S1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_5","S2","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_5","S4","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_5","S5","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_5","S12","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_5","S13","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_5","S14","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_5","S24","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_13","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_13","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_13","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_13","S4","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_13","S5","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_13","S6","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_13","S7","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_13","S11","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_13","S13","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_13","S14","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_13","S24","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_54","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_54","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_54","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_54","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_54","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_54","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_54","S4","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_54","S5","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_54","S12","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_54","S13","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_54","S15","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_54","S16","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_54","S17","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_54","S18","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_54","S23","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_54","S24","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_51","S0","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_51","S1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_51","S2","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_51","S3","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_51","S1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_51","S2","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_51","S4","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_51","S5","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_51","S6","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_51","S7","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_51","S8","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_51","S10","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
